table,project,sponsors,link
133,KRAZAM!,"Most Aesthetic UI and UX Hack - Bitcamp, Most Humorous Hack - Bitcamp, Most Creative UX/UI - Viacom, Best X for Y - Bitcamp, Best Moonshot Hack - Bitcamp, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71422-krazam
134,Locus,"Most Aesthetic UI and UX Hack - Bitcamp, Biggest Gamechanger - Booz Allen Hamilton, Most Creative UX/UI - Viacom, Best Moonshot Hack - Bitcamp, Credible Challenge",http://bitcamp2017.devpost.com/submissions/71423-locus
135,MeMeMe,Most Humorous Hack - Bitcamp,http://bitcamp2017.devpost.com/submissions/71424-mememe
136,U-Eye,"Most Aesthetic UI and UX Hack - Bitcamp, Best Philantrophic Hack | Bloomberg, Most Creative Work Collaboration - Leidos, Biggest Gamechanger - Booz Allen Hamilton, Most Creative UX/UI - Viacom, Best X for Y - Bitcamp, Best Moonshot Hack - Bitcamp, Best Use of IBM Cognitive & Bluemix - IBM",http://bitcamp2017.devpost.com/submissions/71425-u-eye
137,nameQQ,"#HackHarassment, Most Aesthetic UI and UX Hack - Bitcamp, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71426-nameqq
138,Piggy Bank,"Most Aesthetic UI and UX Hack - Bitcamp, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71428-piggy-bank
139,MTerp,"Amazon Web Services - Best Use of AWS, Most Aesthetic UI and UX Hack - Bitcamp, Best Philantrophic Hack | Bloomberg, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71429-mterp
140,Protowell,"Amazon Web Services - Best Use of AWS, Most Aesthetic UI and UX Hack - Bitcamp, Best Domain Name from Domain.com, Biggest Gamechanger - Booz Allen Hamilton, Best X for Y - Bitcamp, Best Moonshot Hack - Bitcamp, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71430-protowell
141,Jotoclass,Most Humorous Hack - Bitcamp,http://bitcamp2017.devpost.com/submissions/71431-jotoclass
142,Hammrd,"#HackHarassment, Most Aesthetic UI and UX Hack - Bitcamp, Best Philantrophic Hack | Bloomberg, Most Humorous Hack - Bitcamp, Best Domain Name from Domain.com, Biggest Gamechanger - Booz Allen Hamilton, Most Creative UX/UI - Viacom, Best X for Y - Bitcamp, Best Moonshot Hack - Bitcamp, Best Rookie Hack - Bitcamp, Credible Challenge",http://bitcamp2017.devpost.com/submissions/71432-hammrd
143,LearnSemaphore,"Most Aesthetic UI and UX Hack - Bitcamp, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71433-learnsemaphore
144,Transcend VR,"Most Aesthetic UI and UX Hack - Bitcamp, Best Philantrophic Hack | Bloomberg, Most Creative Work Collaboration - Leidos, Most Humorous Hack - Bitcamp, Biggest Gamechanger - Booz Allen Hamilton, Most Creative UX/UI - Viacom, Best X for Y - Bitcamp, Best Moonshot Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71434-transcend-vr
145,HitMe!,"Most Aesthetic UI and UX Hack - Bitcamp, Most Humorous Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71435-hitme
146,Speedfun,"Most Aesthetic UI and UX Hack - Bitcamp, Biggest Gamechanger - Booz Allen Hamilton, Most Creative UX/UI - Viacom, Best X for Y - Bitcamp, Best Moonshot Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71436-speedfun
147,Faux News,"Biggest Gamechanger - Booz Allen Hamilton, Best Moonshot Hack - Bitcamp, Best Use of IBM Cognitive & Bluemix - IBM",http://bitcamp2017.devpost.com/submissions/71437-faux-news
148,Classroom Gossip,"#HackHarassment, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71438-classroom-gossip
149,Feku - The Chrome Extension for Real News,"Most Aesthetic UI and UX Hack - Bitcamp, Best Philantrophic Hack | Bloomberg, Most Creative Work Collaboration - Leidos, Best Domain Name from Domain.com, Biggest Gamechanger - Booz Allen Hamilton, Smart Document Analytics - FINRA, Best X for Y - Bitcamp, Best Moonshot Hack - Bitcamp, Best Rookie Hack - Bitcamp, Credible Challenge",http://bitcamp2017.devpost.com/submissions/71439-feku-the-chrome-extension-for-real-news
150,Entogronomy,"Most Aesthetic UI and UX Hack - Bitcamp, Most Creative Work Collaboration - Leidos, Biggest Gamechanger - Booz Allen Hamilton, Most Creative UX/UI - Viacom, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71440-entogronomy
151,What's the Word?,Best Rookie Hack - Bitcamp,http://bitcamp2017.devpost.com/submissions/71441-what-s-the-word
152,Brain Swarm,"Most Aesthetic UI and UX Hack - Bitcamp, Best X for Y - Bitcamp, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71442-brain-swarm
153,Game Walker,"Best Use of React JS - Appian, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71443-game-walker
154,Ambrosia,"#HackHarassment, Best Philantrophic Hack | Bloomberg, Best Rookie Hack - Bitcamp, Credible Challenge, Best Use of IBM Cognitive & Bluemix - IBM",http://bitcamp2017.devpost.com/submissions/71444-ambrosia
155,SafeAir,"Best use of Intel Edison or Arduino 101 for Health - Intel, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71445-safeair
156,Air Traffic Control Simulation,"Best Hack for Air Traffic Control - C2 Technologies, Most Creative Work Collaboration - Leidos, Most Creative UX/UI - Viacom, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71446-air-traffic-control-simulation
157,ROCULUS LIFT,"Most Aesthetic UI and UX Hack - Bitcamp, Most Humorous Hack - Bitcamp, Best Use of Capital One's API, Most Creative UX/UI - Viacom, Best X for Y - Bitcamp, Best Moonshot Hack - Bitcamp, Best Rookie Hack - Bitcamp, Best Use of IBM Cognitive & Bluemix - IBM",http://bitcamp2017.devpost.com/submissions/71447-roculus-lift
158,Blink2Speech,"Most Aesthetic UI and UX Hack - Bitcamp, Most Creative Work Collaboration - Leidos, Biggest Gamechanger - Booz Allen Hamilton, Most Creative UX/UI - Viacom, Best X for Y - Bitcamp, Best Moonshot Hack - Bitcamp, Best Rookie Hack - Bitcamp, Credible Challenge, Best Use of IBM Cognitive & Bluemix - IBM",http://bitcamp2017.devpost.com/submissions/71448-blink2speech
159,F-22 Rocket Storm,"Lockheed Martin Aircraft Arcade , Best Hack for Air Traffic Control - C2 Technologies, Best use of SparkPost , Most Aesthetic UI and UX Hack - Bitcamp, Biggest Gamechanger - Booz Allen Hamilton, Most Creative UX/UI - Viacom, Best Moonshot Hack - Bitcamp, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71449-f-22-rocket-storm
160,WatsonDetective,"Biggest Gamechanger - Booz Allen Hamilton, Best Rookie Hack - Bitcamp, Credible Challenge, Best Use of IBM Cognitive & Bluemix - IBM",http://bitcamp2017.devpost.com/submissions/71450-watsondetective
161,Roster,"Best iOS App - MakeSchool, Most Aesthetic UI and UX Hack - Bitcamp, Most Creative UX/UI - Viacom, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71451-roster
162,Brighten Your Day,"Best Philantrophic Hack | Bloomberg, Best Use of IBM Cognitive & Bluemix - IBM",http://bitcamp2017.devpost.com/submissions/71452-brighten-your-day
163,Whitetooth,"Best Cybersecurity Related Hack - OPIS, Best Philantrophic Hack | Bloomberg, Biggest Gamechanger - Booz Allen Hamilton, Best Digital Forensics Related Hack - Cipher Tech, Best Moonshot Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71453-whitetooth
164,Finra People Search Engine,"Best Philantrophic Hack | Bloomberg, Smart Document Analytics - FINRA, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71454-finra-people-search-engine
165,Amateur Telescope Assistant,"Best use of Intel Edison or Arduino 101 for Health - Intel, Amazon Web Services - Best Use of AWS, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71455-amateur-telescope-assistant
166,Bitcamp's #1 Fan,"Most Aesthetic UI and UX Hack - Bitcamp, Most Humorous Hack - Bitcamp, Biggest Gamechanger - Booz Allen Hamilton, Most Creative UX/UI - Viacom, Best Moonshot Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71456-bitcamp-s-1-fan
167,BitLine,,http://bitcamp2017.devpost.com/submissions/71457-bitline
168,Googllage,"Most Humorous Hack - Bitcamp, Best Domain Name from Domain.com, Best Moonshot Hack - Bitcamp, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71458-googllage
169,Smart Pedal,"Most Humorous Hack - Bitcamp, Biggest Gamechanger - Booz Allen Hamilton, Best X for Y - Bitcamp, Best Moonshot Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71459-smart-pedal
170,Court Listener Text Analyzer,Smart Document Analytics - FINRA,http://bitcamp2017.devpost.com/submissions/71460-court-listener-text-analyzer
171,Crapchat,"Most Aesthetic UI and UX Hack - Bitcamp, Most Humorous Hack - Bitcamp, Best Domain Name from Domain.com, Best X for Y - Bitcamp",http://bitcamp2017.devpost.com/submissions/71461-crapchat
172,systole,"Best Rookie Hack - Bitcamp, Credible Challenge",http://bitcamp2017.devpost.com/submissions/71462-systole
173,FlyBy,"Best Hack for Air Traffic Control - C2 Technologies, Biggest Gamechanger - Booz Allen Hamilton, Best Rookie Hack - Bitcamp, Best Use of IBM Cognitive & Bluemix - IBM",http://bitcamp2017.devpost.com/submissions/71463-flyby
174,SpeakExpress,Best Rookie Hack - Bitcamp,http://bitcamp2017.devpost.com/submissions/71464-speakexpress
175,WillThisKillMe,"Most Aesthetic UI and UX Hack - Bitcamp, Best Philantrophic Hack | Bloomberg, Most Humorous Hack - Bitcamp, Biggest Gamechanger - Booz Allen Hamilton, Best Domain (.me) Name - Namecheap, Best Use of React JS - Appian, Best X for Y - Bitcamp, Best Moonshot Hack - Bitcamp, Best Rookie Hack - Bitcamp, Credible Challenge",http://bitcamp2017.devpost.com/submissions/71465-willthiskillme
176,Tweet.map,"Best Hack for Air Traffic Control - C2 Technologies, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71466-tweet-map
177,DigiRez,"Best iOS App - MakeSchool, Best Philantrophic Hack | Bloomberg, Best Domain Name from Domain.com",http://bitcamp2017.devpost.com/submissions/71467-digirez
178,Vie,"Best use of SparkPost , Most Aesthetic UI and UX Hack - Bitcamp, Best Philantrophic Hack | Bloomberg, Most Creative Work Collaboration - Leidos, Biggest Gamechanger - Booz Allen Hamilton, Best Digital Forensics Related Hack - Cipher Tech, Smart Document Analytics - FINRA, Most Creative UX/UI - Viacom, Best X for Y - Bitcamp, Best Moonshot Hack - Bitcamp, Best Rookie Hack - Bitcamp, Credible Challenge, Best Use of IBM Cognitive & Bluemix - IBM",http://bitcamp2017.devpost.com/submissions/71468-vie
179,The Poop Scoop,,http://bitcamp2017.devpost.com/submissions/71469-the-poop-scoop
180,Block,,http://bitcamp2017.devpost.com/submissions/71470-block
181,CodeReviews,,http://bitcamp2017.devpost.com/submissions/71471-codereviews
182,Balance Tracker,,http://bitcamp2017.devpost.com/submissions/71472-balance-tracker
183,Zing,"Most Aesthetic UI and UX Hack - Bitcamp, Most Creative UX/UI - Viacom, Credible Challenge",http://bitcamp2017.devpost.com/submissions/71473-zing
184,QueueList,,http://bitcamp2017.devpost.com/submissions/71474-queuelist
185,Raptor Scan,"Best Cybersecurity Related Hack - OPIS, Best X for Y - Bitcamp, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71475-raptor-scan
186,Lookout,"Best Cybersecurity Related Hack - OPIS, Best Digital Forensics Related Hack - Cipher Tech, Best X for Y - Bitcamp, Best Moonshot Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71476-lookout
187,Transferwise,"Amazon Web Services - Best Use of AWS, Best Philantrophic Hack | Bloomberg, Best Use of Capital One's API, Best X for Y - Bitcamp, Best Use of IBM Cognitive & Bluemix - IBM",http://bitcamp2017.devpost.com/submissions/71477-transferwise
188,NutriPal,"Amazon Web Services - Best Use of AWS, Best use of SparkPost , Most Aesthetic UI and UX Hack - Bitcamp, Biggest Gamechanger - Booz Allen Hamilton, Best Use of React JS - Appian, Best Use of IBM Cognitive & Bluemix - IBM",http://bitcamp2017.devpost.com/submissions/71478-nutripal
189,NPO connect,,http://bitcamp2017.devpost.com/submissions/71479-npo-connect
190,EmergencyContact,"Best Philantrophic Hack | Bloomberg, Biggest Gamechanger - Booz Allen Hamilton, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71480-emergencycontact
191,2D game: Man on the Run,"Most Creative Work Collaboration - Leidos, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71481-2d-game-man-on-the-run
192,Name's Fake,Most Humorous Hack - Bitcamp,http://bitcamp2017.devpost.com/submissions/71483-name-s-fake
193,Syndicash,"Best Domain Name from Domain.com, Biggest Gamechanger - Booz Allen Hamilton, Best Domain (.me) Name - Namecheap, Best Digital Forensics Related Hack - Cipher Tech, Best Use of React JS - Appian, Smart Document Analytics - FINRA, Best Use of Capital One's API, Most Creative UX/UI - Viacom, Best X for Y - Bitcamp, Best Moonshot Hack - Bitcamp, Best Rookie Hack - Bitcamp, Credible Challenge, Best Use of IBM Cognitive & Bluemix - IBM",http://bitcamp2017.devpost.com/submissions/71484-syndicash
